No.,created_time,status,comments_count,shares_count,likes_count,angry_count,haha_count,love_count,sad_count,wow_count
1,2017-01-27 20:04:30,Wishing All A Happy and Prosperous Lunar New Year.,24,80,898,0,0,26,0,0
2,2017-01-27 19:55:11,,23,40,932,0,0,18,0,0
3,2017-01-26 11:23:14,"Joined senior police officers for their “Durian Night” at the Senior Police Officers’ Mess (SPOM) last Friday.

SPOM regularly organises social events to allow police officers to bond and build camaraderie.

Everyone enjoyed the durians and the common bond.",8,21,506,0,1,8,0,2
4,2017-01-25 20:00:00,"I joined an appreciation lunch for volunteers and staff who helped set up and run the legal clinic at Chong Pang Community Club.

Wanted to thank them for their work in the past year. Many Nee Soon residents have benefitted from their legal advice.

Thank you to all the volunteers, and staff from National University of Singapore, Singapore Management University, Chong Pang CC and the Law Society of Singapore Pro Bono Services Office who have been part of this.

Nee Soon Cares #HomeWithAHeart",17,18,555,0,0,6,0,1
5,2017-01-24 22:27:46,"Met Malaysian Defence Minister Hishammuddin for lunch today. Had a frank exchange with a good friend.

(Picture from Malaysian Ministry of Defence.)",12,19,618,0,0,13,0,0
6,2017-01-24 14:00:00,"Tanglin Police Division
---------------------------------------
Visited Tanglin Police Divisional Headquarters.

Tanglin Division is one of the six Singapore Police Force divisions in Singapore. It oversees five Neighbourhood Police Centres (NPCs) - Bishan, Bukit Timah, Kampong Java, Orchard and Toa Payoh.

Spoke with the officers about their work and understanding their challenges.

Home Team News (Singapore)",10,73,870,0,1,18,0,5
7,2017-01-23 14:00:00,"120 volunteers from Master Contract Services Pte Ltd and students of Admiralty Secondary School (ADSS), joined our grassroots leaders to reach out to 400 families in Chong Pang. Each family received a festive pack and some families also received donated household items.
 
This is part of the WeCare @ North West - Service Weeks programme. Through North West CDC's efforts, community partners, corporations, schools, volunteer welfare organisations (VWOs) and others come together to help some 6,600 families across the North West district.
 
It is a great community effort to benefit our residents and spread the festive cheer.

Nee Soon Cares #HomeWithAHeart",3,15,401,0,1,7,0,1
8,2017-01-21 20:04:00,"Attended Huttons' Convention 2017 on Thursday. Met with the leadership team, and later, with over 1,000 agents.

Had a frank discussion on several issues. Adoption of technology, the disruption of traditional modes of business, and the economy were amongst the topics discussed.

Huttons Asia",26,73,734,0,0,8,0,0
9,2017-01-18 20:00:00,"My colleague Amrin Amin got married recently. Went for the reception on Sunday together with the Chong Pang grassroots leaders.

Amrin used to volunteer with PAP Chong Pang.

Wishing the couple, Amrin and Nadia a blissful and happy marriage, and all blessings.",21,28,874,0,0,21,0,1
10,2017-01-17 20:01:27,"Volunteers from PAP Chong Pang organised a free haircut for our senior citizens and residents from low-income households. Some children also had their “back to school” haircuts. It is a ground-up effort by our volunteers, for Chong Pang residents

I dropped by, and also sat for a hair cut, (though I dont have much hair to cut!) to give my support for this project.

For this project, volunteers raised funds, went door-to-door to invite residents and hairdressers from the various saloons in Chong Pang. They also organised lunch and gave out mandarin oranges to the participants.
 
The salons listed below were incredibly supportive and enthusiastic about the initiative. Nine hairdressers participated. And despite the warm weather, they stayed on till the end, and were eager to help in the next round.
 
Residents and volunteers were thrilled. Looking forward to the next such event.
 
PAP Nee Soon GRC: http://papneesoon.sg/2017/01/09/60-residents-get-free-haircuts/

Saloons:
ELITE Hairdressing & Beauty Salon
New Line Hair Salon
Georgie De Salon
Popo Hair Salon
 
Nee Soon Cares #HomeWithAHeart #BeAwesomeToPeople",15,48,570,0,1,11,0,0
